CodMunic	NomeMunic	Regiao	CodUF	SiglaUF	Populacao	FuncADMD	Maternidade	Emergencia	mater	emerg	materemerg	sqrtPop	estrato
350170	Américo Brasiliense	3	35	SP	34954	1222	Sim	Sim	1	1	1	186.959888746223	4
521310	Mineiros	5	52	GO	54003	1444	Sim	Sim	1	1	1	232.385455655039	4
210200	Bom Jardim	2	21	MA	39401	2194	Não	Sim	0	1	0	198.496851360418	4
231140	Quixeramobim	2	23	CE	72866	2130	Sim	Sim	1	1	1	269.937029693964	4
430350	Camaquã	4	43	RS	62947	1820	Sim	Sim	1	1	1	250.892407218712	4
310400	Araxá	3	31	MG	94799	3903	Sim	Sim	1	1	1	307.894462438024	4
314000	Mariana	3	31	MG	54796	2954	Sim	Sim	1	1	1	234.085454481905	4
500110	Aquidauana	5	50	MS	45781	1965	Sim	Sim	1	1	1	213.964950400761	4
354530	Salto de Pirapora	3	35	SP	40521	925	Não	Sim	0	1	0	201.298286132793	4
316110	São Francisco	3	31	MG	54007	1906	Sim	Sim	1	1	1	232.394061886271	4
291650	Itapicuru	2	29	BA	32641	1156	Não	Sim	0	1	0	180.6682041755	4
211280	Viana	2	21	MA	49883	1925	Sim	Sim	1	1	1	223.345024569611	4
314110	Matozinhos	3	31	MG	34295	1244	Sim	Sim	1	1	1	185.18909255137	4
250630	Guarabira	2	25	PB	55657	1593	Sim	Sim	1	1	1	235.917358411796	4
510795	Tangará da Serra	5	51	MT	85319	2226	Sim	Sim	1	1	1	292.094162899569	4
354970	São José do Rio Pardo	3	35	SP	52040	1550	Sim	Sim	1	1	1	228.122773961742	4
292870	Santo Antônio de Jesus	2	29	BA	92049	2110	Sim	Sim	1	1	1	303.395781117668	4
330170	Duque de Caxias	3	33	RJ	861158	14809	Não	Sim	0	1	0	927.985991273575	5
350950	Campinas	3	35	SP	1090386	16034	Sim	Sim	1	1	1	1044.21549500091	5
320150	Colatina	3	32	ES	112432	3158	Sim	Sim	1	1	1	335.308812887463	5
230770	Maranguape	2	23	CE	115465	2959	Sim	Sim	1	1	1	339.801412592708	5
352340	Itatiba	3	35	SP	103028	2788	Não	Sim	0	1	0	320.979750140098	5
352220	Itapecerica da Serra	3	35	SP	154374	2830	Sim	Sim	1	1	1	392.904568565956	5
355030	São Paulo	3	35	SP	11316119	145483	Não	Sim	0	1	0	3363.94396505055	5
355620	Valinhos	3	35	SP	108622	2668	Não	Sim	0	1	0	329.578518717467	5
210750	Paço do Lumiar	2	21	MA	107764	1512	Não	Sim	0	1	0	328.274275568464	5
352050	Indaiatuba	3	35	SP	205808	4341	Sim	Sim	1	1	1	453.660666137147	5
354870	São Bernardo do Campo	3	35	SP	770253	14710	Não	Sim	0	1	0	877.640587028654	5
310560	Barbacena	3	31	MG	127218	1918	Sim	Sim	1	1	1	356.676323856799	5
351840	Guaratinguetá	3	35	SP	112675	2309	Sim	Sim	1	1	1	335.670969849941	5
510790	Sinop	5	51	MT	116014	3085	Não	Sim	0	1	0	340.608279406124	5
310670	Betim	3	31	MG	383571	11051	Sim	Sim	1	1	1	619.331090774555	5
330100	Campos dos Goytacazes	3	33	RJ	468087	16464	Sim	Sim	1	1	1	684.168838811006	5
410480	Cascavel	4	41	PR	289340	6578	Sim	Sim	1	1	1	537.903337041145	5
240800	Mossoró	2	24	RN	263344	5884	Sim	Sim	1	1	1	513.170536956283	5
350160	Americana	3	35	SP	212791	6762	Não	Sim	0	1	0	461.29274869653	5
313130	Ipatinga	3	31	MG	241539	6331	Sim	Sim	1	1	1	491.466173810569	5
410040	Almirante Tamandaré	4	41	PR	104350	2032	Não	Sim	0	1	0	323.032506104262	5
355170	Sertãozinho	3	35	SP	111257	3161	Sim	Sim	1	1	1	333.552094881744	5
291080	Feira de Santana	2	29	BA	562466	6994	Sim	Sim	1	1	1	749.977332990804	5
421660	São José	4	42	SC	212587	4592	Sim	Sim	1	1	1	461.071577957262	5
420240	Blumenau	4	42	SC	312635	7005	Sim	Sim	1	1	1	559.1377290078	5
260680	Igarassu	2	26	PE	103537	3370	Sim	Sim	1	1	1	321.771658167714	5
430060	Alvorada	4	43	RS	196572	2964	Sim	Não	1	0	0	443.364409938371	5
150420	Marabá	1	15	PA	238708	9732	Sim	Sim	1	1	1	488.577527113149	5
420460	Criciúma	4	42	SC	193989	4740	Sim	Sim	1	1	1	440.441823627139	5
351880	Guarulhos	3	35	SP	1233436	19787	Sim	Sim	1	1	1	1110.60163875262	5
430460	Canoas	4	43	RS	325189	5765	Sim	Sim	1	1	1	570.253452422692	5
355240	Sumaré	3	35	SP	242960	3856	Não	Sim	0	1	0	492.909728043584	5
410420	Campo Largo	4	41	PR	113882	2647	Sim	Sim	1	1	1	337.464072161764	5
510340	Cuiabá	5	51	MT	556299	14251	Não	Sim	0	1	0	745.85454346005	5
315250	Pouso Alegre	3	31	MG	132445	3962	Sim	Sim	1	1	1	363.929938312308	5
352590	Jundiaí	3	35	SP	373713	7083	Sim	Sim	1	1	1	611.320701432562	5
411820	Paranaguá	4	41	PR	141477	4694	Sim	Sim	1	1	1	376.134284531469	5
350760	Bragança Paulista	3	35	SP	148411	3987	Sim	Sim	1	1	1	385.241482709222	5
320530	Vitória	3	32	ES	330526	14267	Sim	Sim	1	1	1	574.913906598197	5
355400	Tatuí	3	35	SP	108393	3045	Sim	Sim	1	1	1	329.230921998527	5
